lh.aparc.a2009s.area	lh_G&S_frontomargin_area	lh_G&S_occipital_inf_area	lh_G&S_paracentral_area	lh_G&S_subcentral_area	lh_G&S_transv_frontopol_area	lh_G&S_cingul-Ant_area	lh_G&S_cingul-Mid-Ant_area	lh_G&S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg&S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet&P_trans_area	lh_S_oc_middle&Lunatus_area	lh_S_oc_sup&transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med&Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-NDARAA947ZG5_acq-HCP_T1w	621.0	837.0	968.0	968.0	570.0	1881.0	884.0	880.0	526.0	197.0	1146.0	913.0	246.0	775.0	3475.0	5830.0	432.0	674.0	1517.0	717.0	1235.0	1666.0	821.0	1432.0	1622.0	2061.0	1889.0	1368.0	1866.0	1700.0	732.0	293.0	338.0	1514.0	294.0	692.0	1275.0	2164.0	167.0	130.0	734.0	1132.0	825.0	1488.0	2023.0	656.0	585.0	864.0	935.0	520.0	201.0	1252.0	1045.0	1848.0	182.0	2056.0	597.0	959.0	471.0	530.0	926.0	127.0	296.0	486.0	1184.0	736.0	1637.0	1060.0	677.0	398.0	623.0	1188.0	4002.0	275.0	79835.2	1084626.0	1566190.165971
sub-NDARAD615WLJ_acq-HCP_T1w	911.0	1481.0	1174.0	1369.0	670.0	1714.0	1053.0	1165.0	612.0	357.0	1674.0	1351.0	348.0	1234.0	4117.0	6472.0	704.0	555.0	1809.0	998.0	1453.0	2874.0	1165.0	1820.0	1706.0	2441.0	3153.0	2207.0	2480.0	2409.0	722.0	613.0	441.0	1625.0	690.0	1069.0	1822.0	2098.0	278.0	133.0	1013.0	2073.0	1037.0	3042.0	2698.0	968.0	379.0	1001.0	1476.0	1042.0	336.0	2254.0	1485.0	2885.0	139.0	2372.0	1283.0	795.0	500.0	491.0	1862.0	360.0	506.0	1233.0	1874.0	1251.0	3191.0	1219.0	1169.0	422.0	973.0	1393.0	4802.0	410.0	108899.0	1396149.0	1730703.292079
sub-NDARAT680GJA_acq-HCP_T1w	966.0	1289.0	1155.0	1273.0	657.0	1454.0	1005.0	1018.0	539.0	211.0	1552.0	1196.0	331.0	1168.0	3493.0	5385.0	454.0	481.0	1683.0	1020.0	1529.0	2506.0	690.0	1722.0	1856.0	2352.0	2003.0	1737.0	1893.0	2142.0	612.0	541.0	366.0	1681.0	595.0	1010.0	1971.0	1842.0	262.0	236.0	924.0	1456.0	1053.0	2219.0	2357.0	876.0	333.0	987.0	1280.0	638.0	432.0	2324.0	1114.0	2469.0	171.0	2347.0	837.0	1010.0	480.0	1165.0	1580.0	373.0	412.0	1125.0	1400.0	1207.0	2287.0	1458.0	1204.0	563.0	732.0	1316.0	4490.0	350.0	96843.3	1295526.0	1616099.942934
sub-NDARBD992CH7_acq-HCP_T1w	1158.0	1636.0	1142.0	994.0	632.0	2261.0	1223.0	1062.0	523.0	267.0	1941.0	1320.0	346.0	1187.0	3540.0	5653.0	616.0	574.0	1804.0	1504.0	2063.0	3497.0	792.0	2114.0	2067.0	3086.0	2482.0	2020.0	2075.0	2398.0	781.0	771.0	534.0	1554.0	632.0	792.0	2205.0	2132.0	348.0	446.0	831.0	1633.0	1226.0	2741.0	2336.0	899.0	483.0	1114.0	1487.0	884.0	371.0	2331.0	1308.0	2303.0	309.0	2612.0	1002.0	1454.0	722.0	1238.0	1955.0	375.0	662.0	1119.0	2237.0	1216.0	3019.0	1730.0	895.0	541.0	959.0	1718.0	5519.0	392.0	111796.0	1477566.0	1959221.111387
sub-NDARBL214YLX_acq-HCP_T1w	768.0	1412.0	1109.0	1124.0	307.0	1022.0	739.0	741.0	197.0	101.0	439.0	1010.0	433.0	796.0	2700.0	4898.0	457.0	480.0	2024.0	418.0	843.0	494.0	323.0	2372.0	1491.0	2788.0	1791.0	1685.0	2060.0	946.0	776.0	1091.0	290.0	1523.0	587.0	954.0	1403.0	1635.0	129.0	245.0	1070.0	945.0	1128.0	720.0	2723.0	670.0	447.0	1338.0	1396.0	640.0	252.0	1410.0	965.0	1944.0	153.0	1345.0	442.0	465.0	594.0	461.0	242.0	253.0	484.0	1309.0	702.0	457.0	2002.0	1235.0	1425.0	248.0	329.0	967.0	3100.0	242.0	76699.3	1067201.0	1570925.296992
sub-NDARBN365EV3_acq-HCP_T1w	1127.0	1132.0	1100.0	1384.0	811.0	2343.0	1571.0	1222.0	616.0	230.0	1654.0	1337.0	372.0	1396.0	4800.0	5539.0	543.0	561.0	1596.0	1066.0	1292.0	2423.0	1049.0	1956.0	2165.0	2674.0	2498.0	1895.0	2132.0	2640.0	710.0	506.0	440.0	1901.0	590.0	1005.0	2289.0	2195.0	249.0	371.0	967.0	1443.0	1346.0	2257.0	2516.0	843.0	411.0	1022.0	1376.0	946.0	503.0	2632.0	1576.0	2606.0	389.0	2538.0	855.0	898.0	479.0	571.0	1543.0	380.0	568.0	1375.0	1973.0	1241.0	2408.0	1338.0	1356.0	622.0	917.0	1573.0	5462.0	363.0	108673.0	1438181.0	1825830.374407
sub-NDARCD687JUZ_acq-HCP_T1w	849.0	1061.0	922.0	1114.0	465.0	1235.0	675.0	879.0	407.0	212.0	1352.0	1286.0	215.0	812.0	3010.0	3805.0	365.0	485.0	1568.0	924.0	1355.0	1976.0	1054.0	1698.0	1731.0	2546.0	2023.0	1405.0	1735.0	1776.0	455.0	284.0	269.0	1353.0	289.0	809.0	1404.0	1753.0	201.0	223.0	859.0	1243.0	849.0	1565.0	1757.0	539.0	290.0	754.0	1079.0	744.0	372.0	1626.0	837.0	1618.0	295.0	2124.0	556.0	878.0	482.0	559.0	1322.0	153.0	333.0	872.0	1351.0	872.0	1748.0	979.0	822.0	377.0	797.0	603.0	4050.0	276.0	79564.9	1098681.0	1512708.803068
sub-NDARCN500KJG_acq-HCP_T1w	790.0	1523.0	1005.0	1107.0	603.0	1582.0	972.0	1079.0	474.0	202.0	1045.0	1150.0	469.0	1081.0	3206.0	5966.0	622.0	649.0	2181.0	904.0	1176.0	2269.0	1084.0	1759.0	1863.0	2398.0	2267.0	1831.0	1624.0	2311.0	684.0	490.0	375.0	1521.0	461.0	915.0	2062.0	1826.0	334.0	451.0	1025.0	1524.0	1060.0	1696.0	2215.0	916.0	370.0	1250.0	1365.0	1042.0	425.0	1864.0	1049.0	2365.0	301.0	2491.0	998.0	1121.0	483.0	759.0	1573.0	376.0	519.0	977.0	1433.0	1090.0	2304.0	1366.0	1136.0	546.0	1053.0	1183.0	4157.0	282.0	96629.1	1302400.0	1624067.109756
sub-NDARDB161LU6_acq-HCP_T1w	1123.0	1008.0	1259.0	1194.0	575.0	2078.0	1021.0	1287.0	563.0	202.0	1464.0	1041.0	396.0	986.0	3587.0	6575.0	441.0	474.0	1413.0	847.0	1647.0	1997.0	1148.0	2106.0	2154.0	2087.0	2421.0	1539.0	1935.0	2106.0	699.0	556.0	296.0	1625.0	518.0	952.0	1999.0	2430.0	235.0	268.0	787.0	1351.0	1287.0	2299.0	2344.0	964.0	373.0	903.0	1180.0	964.0	344.0	1951.0	1624.0	2554.0	357.0	2762.0	801.0	877.0	694.0	897.0	1274.0	324.0	497.0	1261.0	1552.0	1019.0	2228.0	1392.0	1000.0	511.0	970.0	1374.0	5453.0	267.0	100684.0	1328478.0	1604689.94013
sub-NDARDE877RFH_acq-HCP_T1w	901.0	825.0	982.0	977.0	583.0	1406.0	808.0	966.0	416.0	196.0	1283.0	796.0	270.0	719.0	2896.0	4495.0	521.0	480.0	1444.0	844.0	1264.0	1875.0	825.0	1634.0	1588.0	1515.0	1750.0	1400.0	1656.0	1810.0	588.0	548.0	276.0	1243.0	535.0	610.0	1455.0	1554.0	165.0	255.0	738.0	1189.0	993.0	1816.0	2178.0	954.0	382.0	929.0	1041.0	705.0	268.0	1612.0	1265.0	2256.0	148.0	1923.0	786.0	1040.0	511.0	651.0	1395.0	342.0	457.0	1019.0	1356.0	644.0	2048.0	1077.0	935.0	374.0	725.0	995.0	4249.0	260.0	81619.0	1119862.0	1424927.100985
